"","country_code","age","gender","rural","dem_education_level","dem_full_time_job","dem_has_children","awareness","vote","effect","age_group","pro_anxiety","pro_equality","pro_indep","pro_solidarity","pro_bureau","pro_volunteer","pro_none","con_expensive","con_stopworking","con_foreigners","con_merit","con_need","con_dependence","con_none","pro_count","con_count"
"6199","HU",40,"female","rural","no","no","yes","I understand it fully","I would probably vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6200","HU",40,"male","urban","medium","yes","yes","I have never heard of it","I would vote against it","A basic income would not affect my work choices","40_65",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,4
"6201","HU",15,"male","urban","low","no","no","I have heard just a little about it","I would not vote","‰Û_ do more volunteering work","14_25",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
"6202","HU",32,"female","urban","medium","yes","no","I know something about it","I would probably vote for it","‰Û_ spend more time with my family","26_39",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
"6203","HU",45,"male","urban","high","yes","no","I know something about it","I would probably vote for it","‰Û_ do more volunteering work","40_65",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6204","HU",45,"male","urban","high","no","no","I know something about it","I would vote for it","‰Û_ gain additional skills","40_65",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0
"6205","HU",44,"female","rural","high","yes","yes","I know something about it","I would vote against it","‰Û_ spend more time with my family","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6206","HU",41,"male","urban","high","yes","yes","I know something about it","I would vote for it","A basic income would not affect my work choices","40_65",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,1
"6207","HU",64,"female","urban","medium","no","yes","I have heard just a little about it","I would vote for it","A basic income would not affect my work choices","40_65",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,5,4
"6208","HU",63,"female","urban","low","no","yes","I have heard just a little about it","I would vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0
"6209","HU",47,"female","urban","low","yes","yes","I have heard just a little about it","I would not vote","A basic income would not affect my work choices","40_65",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1
"6210","HU",21,"male","rural","medium","yes","no","I know something about it","I would vote for it","‰Û_ spend more time with my family","14_25",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,2
"6211","HU",62,"female","urban","low","no","yes","I have never heard of it","I would probably vote for it","‰Û_ stop working","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6212","HU",65,"male","rural","low","no","yes","I know something about it","I would probably vote for it","None of the above","40_65",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0
"6213","HU",24,"female","urban","medium","yes","no","I know something about it","I would vote against it","‰Û_ look for a different job","14_25",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,4
"6214","HU",28,"female","urban","high","yes","no","I understand it fully","I would probably vote against it","‰Û_ work less","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,4
"6215","HU",50,"female","urban","low","yes","yes","I have never heard of it","I would vote for it","‰Û_ spend more time with my family","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1
"6216","HU",25,"female","rural","high","yes","no","I know something about it","I would vote against it","A basic income would not affect my work choices","14_25",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,5
"6217","HU",29,"male","urban","low","yes","yes","I have heard just a little about it","I would vote for it","‰Û_ spend more time with my family","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
"6218","HU",27,"female","urban","low","yes","no","I understand it fully","I would vote against it","‰Û_ gain additional skills","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6219","HU",17,"male","urban","medium","no","no","I know something about it","I would probably vote for it","‰Û_ gain additional skills","14_25",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6220","HU",30,"male","urban","medium","yes","no","I have heard just a little about it","I would probably vote for it","A basic income would not affect my work choices","26_39",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,1
"6221","HU",27,"male","rural","medium","yes","yes","I understand it fully","I would vote for it","A basic income would not affect my work choices","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,3
"6222","HU",31,"male","urban","high","yes","yes","I understand it fully","I would vote for it","‰Û_ spend more time with my family","26_39",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1
